Instances,Source,feature_Density,feature_AlgConnectivity,feature_Energy,algo_RandomGreedy,algo_DSATUR,algo_Bktr,algo_HillClimber,algo_HEA,algo_PartialCol,algo_TabuCol,algo_AntCol
Bipartite-000-730Nodes-21393Edges-00000ExtraEdges,Bipartite,0.074137511009501,28.8050286252,5.86715373614,10,2,2,2,2,2,2,2
Bipartite-001-730Nodes-21393Edges-00100ExtraEdges,Bipartite,0.074512302531717,28.8253247013,5.88612888024,13,5,4,4,4,4,4,6
Bipartite-002-730Nodes-21393Edges-01000ExtraEdges,Bipartite,0.077859190825104,31.6454607091,6.03914615536,14,8,7,6,6,6,6,6
Bipartite-003-730Nodes-21393Edges-02000ExtraEdges,Bipartite,0.081554635234151,36.1095156216,6.19618244165,16,10,9,8,7,7,7,8
Bipartite-004-730Nodes-21393Edges-03000ExtraEdges,Bipartite,0.085212600490977,38.0756469617,6.34969098435,18,13,12,9,8,8,8,9
Bipartite-005-730Nodes-21393Edges-04000ExtraEdges,Bipartite,0.088893053239136,39.2074864895,6.49205341994,20,15,13,10,10,10,10,10
Bipartite-006-730Nodes-21393Edges-05000ExtraEdges,Bipartite,0.092476060191518,42.0313391458,6.62789554865,23,16,14,12,11,11,11,12
Bipartite-007-730Nodes-21393Edges-07500ExtraEdges,Bipartite,0.101388602589809,46.1864061978,6.94749972803,24,20,19,15,14,14,13,15
Bipartite-008-730Nodes-21393Edges-10000ExtraEdges,Bipartite,0.110158724209658,47.4176636156,7.23290751699,27,22,21,18,16,16,16,16
Bipartite-009-730Nodes-21393Edges-15000ExtraEdges,Bipartite,0.127215486385697,48.0172064606,7.74079645771,29,25,24,23,20,20,20,22
Bipartite-010-730Nodes-21393Edges-20000ExtraEdges,Bipartite,0.143642598804415,48.2437469706,8.16075456315,32,27,26,25,22,22,22,24
Bipartite-011-730Nodes-21393Edges-30000ExtraEdges,Bipartite,0.17458913479377,48.4639865492,8.85085728512,37,32,32,30,25,26,25,28
Bipartite-012-730Nodes-21393Edges-40000ExtraEdges,Bipartite,0.203298165395498,48.5836795173,9.36182669335,44,37,36,34,29,30,29,32
Bipartite-013-730Nodes-21393Edges-50000ExtraEdges,Bipartite,0.229979573862039,48.653806337,9.73156988067,49,42,40,39,32,33,33,36
Bipartite-014-730Nodes-21393Edges-75000ExtraEdges,Bipartite,0.288263403481813,48.7491087181,10.2555889539,58,53,50,47,40,41,41,41
Bipartite-015-730Nodes-21393Edges-100000ExtraEdges,Bipartite,0.336971309708974,48.7962287525,10.411086124,70,63,60,56,48,49,48,48
Bipartite-016-730Nodes-21393Edges-250000ExtraEdges,Bipartite,0.495785469332683,48.8727150131,9.03154724685,127,120,114,98,87,88,88,88
Bipartite-017-730Nodes-21393Edges-500000ExtraEdges,Bipartite,0.560189644510241,48.8890738911,7.25650263106,196,191,183,163,163,163,163,163
Bipartite-018-730Nodes-21393Edges-750000ExtraEdges,Bipartite,0.570365234338399,48.8911781672,6.84921652537,274,274,268,256,256,256,256,256
Bipartite-019-730Nodes-21393Edges-1000000ExtraEdges,Bipartite,0.572029308697037,48.8913973452,6.77856983017,335,336,335,335,335,335,335,336
Bipartite-020-923Nodes-8653Edges-00000ExtraEdges,Bipartite,0.019886217069316,5.38010998399,3.57340337028,9,2,2,2,2,2,2,2
Bipartite-021-923Nodes-8653Edges-00100ExtraEdges,Bipartite,0.020118379273309,6.19312242629,3.59729490274,9,4,4,4,4,4,4,4
Bipartite-022-923Nodes-8653Edges-01000ExtraEdges,Bipartite,0.022219564473086,7.23046821002,3.78736472388,11,7,6,5,5,5,5,5
Bipartite-023-923Nodes-8653Edges-02000ExtraEdges,Bipartite,0.024536496367482,9.13410509634,3.98196644423,12,8,8,7,6,6,6,7
Bipartite-024-923Nodes-8653Edges-03000ExtraEdges,Bipartite,0.026834667679738,10.8470824214,4.16657169257,12,10,9,8,7,7,7,7
Bipartite-025-923Nodes-8653Edges-04000ExtraEdges,Bipartite,0.029130493919226,11.9661514857,4.34055758106,13,10,9,9,8,8,8,9
Bipartite-026-923Nodes-8653Edges-05000ExtraEdges,Bipartite,0.031409904649341,13.5454326045,4.50527944946,14,11,10,10,9,9,9,9
Bipartite-027-923Nodes-8653Edges-07500ExtraEdges,Bipartite,0.037092015965255,16.7709389617,4.88903558428,15,12,12,11,10,10,10,11
Bipartite-028-923Nodes-8653Edges-10000ExtraEdges,Bipartite,0.042720190607515,18.5886720134,5.23893992599,17,13,13,12,11,11,11,12
Bipartite-029-923Nodes-8653Edges-15000ExtraEdges,Bipartite,0.053777208706786,19.2173641549,5.8480290833,20,15,15,14,13,12,12,14
Bipartite-030-923Nodes-8653Edges-20000ExtraEdges,Bipartite,0.064651311130184,19.4533520851,6.37175261269,22,18,16,16,14,14,14,16
Bipartite-031-923Nodes-8653Edges-30000ExtraEdges,Bipartite,0.085496662961452,19.6478889912,7.21777968314,26,22,21,20,18,18,17,19
Bipartite-032-923Nodes-8653Edges-40000ExtraEdges,Bipartite,0.105272661610689,19.7369010357,7.87604264583,32,27,26,24,21,21,21,23
Bipartite-033-923Nodes-8653Edges-50000ExtraEdges,Bipartite,0.124204434063589,19.7847907094,8.40026924425,35,31,28,28,24,24,24,26
Bipartite-034-923Nodes-8653Edges-75000ExtraEdges,Bipartite,0.168003358144203,19.8497443925,9.31326050833,45,39,36,37,31,31,31,34
Bipartite-035-923Nodes-8653Edges-100000ExtraEdges,Bipartite,0.206800242011509,19.8828723532,9.85603173981,56,48,46,45,37,38,37,38
Bipartite-036-923Nodes-8653Edges-250000ExtraEdges,Bipartite,0.363826314530539,19.9359349895,9.80509321501,105,98,94,84,73,73,72,72
Bipartite-037-923Nodes-8653Edges-500000ExtraEdges,Bipartite,0.470909372317823,19.9515429939,7.3277348446,176,166,159,136,127,126,126,126
Bipartite-038-923Nodes-8653Edges-750000ExtraEdges,Bipartite,0.503820123538433,19.9548718053,5.70410515686,230,218,213,188,186,187,190,186
Bipartite-039-923Nodes-8653Edges-1000000ExtraEdges,Bipartite,0.51391097165745,19.9558820723,4.99716867804,275,267,257,241,242,243,242,244
Bipartite-040-960Nodes-5302Edges-00000ExtraEdges,Bipartite,0.01135752688172,1.68358348796,2.76203992098,8,2,2,2,2,2,2,3
Bipartite-041-960Nodes-5302Edges-00100ExtraEdges,Bipartite,0.011574314949705,1.68420111094,2.79023802097,8,5,4,4,4,4,4,4
Bipartite-042-960Nodes-5302Edges-01000ExtraEdges,Bipartite,0.013521071800208,3.38425295168,3.02206757532,9,6,6,5,5,5,5,5
Bipartite-043-960Nodes-5302Edges-02000ExtraEdges,Bipartite,0.015654266389178,4.49668638531,3.25638564674,10,7,7,6,6,6,6,6
Bipartite-044-960Nodes-5302Edges-03000ExtraEdges,Bipartite,0.017789628858828,5.45971705028,3.47395125961,11,8,7,7,6,6,6,7
Bipartite-045-960Nodes-5302Edges-04000ExtraEdges,Bipartite,0.019922823447797,7.24114901774,3.67361390326,11,8,8,7,7,7,7,7
Bipartite-046-960Nodes-5302Edges-05000ExtraEdges,Bipartite,0.022045178633368,8.25937952734,3.86389530602,11,8,8,8,7,7,7,8
Bipartite-047-960Nodes-5302Edges-07500ExtraEdges,Bipartite,0.027341311134235,11.5969409405,4.29768100408,13,10,10,9,8,8,8,9
Bipartite-048-960Nodes-5302Edges-10000ExtraEdges,Bipartite,0.032559399930628,14.6410746327,4.68000076501,14,11,11,10,9,9,9,10
Bipartite-049-960Nodes-5302Edges-15000ExtraEdges,Bipartite,0.042832986472425,15.2990338469,5.33660989498,17,14,13,12,11,11,11,12
Bipartite-050-960Nodes-5302Edges-20000ExtraEdges,Bipartite,0.052917967395075,15.4873333293,5.89186008586,20,16,15,14,13,13,13,14
Bipartite-051-960Nodes-5302Edges-30000ExtraEdges,Bipartite,0.07229665279223,15.6583499147,6.77675338344,26,21,19,18,16,16,16,18
Bipartite-052-960Nodes-5302Edges-40000ExtraEdges,Bipartite,0.090829864724246,15.7348309745,7.46973638798,29,25,23,23,19,19,19,21
Bipartite-053-960Nodes-5302Edges-50000ExtraEdges,Bipartite,0.108751734304543,15.7857151637,8.03239671127,34,29,26,26,22,22,22,22
Bipartite-054-960Nodes-5302Edges-75000ExtraEdges,Bipartite,0.149900277488727,15.8460068908,9.01493971599,45,37,35,35,29,29,29,32
Bipartite-055-960Nodes-5302Edges-100000ExtraEdges,Bipartite,0.186669701699618,15.8739925972,9.60722477304,53,45,43,42,36,36,36,36
Bipartite-056-960Nodes-5302Edges-250000ExtraEdges,Bipartite,0.341066163718348,15.9210975881,9.85055265513,103,91,88,81,70,69,69,70
Bipartite-057-960Nodes-5302Edges-500000ExtraEdges,Bipartite,0.452785726673603,15.9348193149,7.413875488,167,160,153,132,122,121,120,122
Bipartite-058-960Nodes-5302Edges-750000ExtraEdges,Bipartite,0.490732310093652,15.9381178347,5.50532863723,222,216,211,176,173,172,179,173
Bipartite-059-960Nodes-5302Edges-1000000ExtraEdges,Bipartite,0.503477280610475,15.9391968468,4.51038430994,271,244,243,230,229,229,229,229
Bipartite-060-916Nodes-7591Edges-00000ExtraEdges,Bipartite,0.017769639940379,5.22633886059,3.35800978216,9,2,2,2,2,2,2,3
Bipartite-061-916Nodes-7591Edges-00100ExtraEdges,Bipartite,0.018007743115247,5.24002678329,3.38459681191,9,4,4,4,4,4,4,4
Bipartite-062-916Nodes-7591Edges-01000ExtraEdges,Bipartite,0.02014352859381,5.37091490127,3.59046035547,10,7,6,5,5,5,5,5
Bipartite-063-916Nodes-7591Edges-02000ExtraEdges,Bipartite,0.02250313105675,7.14695753485,3.79992634495,12,8,8,7,6,6,6,6
Bipartite-064-916Nodes-7591Edges-03000ExtraEdges,Bipartite,0.024865114551437,8.19528667068,3.99837993658,13,9,9,8,7,7,7,7
Bipartite-065-916Nodes-7591Edges-04000ExtraEdges,Bipartite,0.027212811855633,10.1725756414,4.18063849246,12,9,9,9,8,8,8,9
Bipartite-066-916Nodes-7591Edges-05000ExtraEdges,Bipartite,0.029534317810594,10.6082529292,4.35524759629,14,11,10,9,8,8,8,9
Bipartite-067-916Nodes-7591Edges-07500ExtraEdges,Bipartite,0.035329749086874,12.2094483887,4.75527859393,15,11,11,10,9,9,9,10
Bipartite-068-916Nodes-7591Edges-10000ExtraEdges,Bipartite,0.041022795997962,12.4030843953,5.11496834281,17,13,12,11,10,10,10,11
Bipartite-069-916Nodes-7591Edges-15000ExtraEdges,Bipartite,0.052346982994671,12.6068104148,5.74350549445,19,15,14,14,12,12,12,13
Bipartite-070-916Nodes-7591Edges-20000ExtraEdges,Bipartite,0.063268775625854,12.7094856005,6.27405854745,22,17,16,16,14,14,14,15
Bipartite-071-916Nodes-7591Edges-30000ExtraEdges,Bipartite,0.084324239379408,12.7972359225,7.12653632547,28,22,20,20,17,17,17,19
Bipartite-072-916Nodes-7591Edges-40000ExtraEdges,Bipartite,0.104424909401741,12.8455201459,7.79524540099,32,25,24,24,21,20,20,21
Bipartite-073-916Nodes-7591Edges-50000ExtraEdges,Bipartite,0.123646978708814,12.8768923993,8.31882019602,36,30,28,28,23,24,23,26
Bipartite-074-916Nodes-7591Edges-75000ExtraEdges,Bipartite,0.167529393836937,12.9137350151,9.23546385282,44,39,36,37,31,31,30,34
Bipartite-075-916Nodes-7591Edges-100000ExtraEdges,Bipartite,0.20667831784869,12.9321765689,9.76599981686,56,47,45,45,38,38,38,38
Bipartite-076-916Nodes-7591Edges-250000ExtraEdges,Bipartite,0.363774030562923,12.9658568452,9.67325026964,105,98,94,84,72,73,72,73
Bipartite-077-916Nodes-7591Edges-500000ExtraEdges,Bipartite,0.46995376036344,12.9755148208,7.16028134176,178,167,161,136,128,128,128,129
Bipartite-078-916Nodes-7591Edges-750000ExtraEdges,Bipartite,0.502426271351902,12.9778571037,5.51179147377,228,218,215,193,192,192,194,192
Bipartite-080-201Nodes-12693Edges-00000ExtraEdges,Bipartite,0.356780454164819,53.7365276958,4.49870616865,2,2,2,2,2,2,2,2
Bipartite-081-201Nodes-12693Edges-00100ExtraEdges,Bipartite,0.361509285256883,53.8065656703,4.5935043027,7,5,4,4,4,4,4,4
Bipartite-082-201Nodes-12693Edges-01000ExtraEdges,Bipartite,0.403379143884537,61.3286465163,5.23926632786,15,14,12,10,10,10,10,10
Bipartite-083-201Nodes-12693Edges-02000ExtraEdges,Bipartite,0.444854933254519,68.65847939,5.68470360127,22,18,16,13,13,14,13,13
Bipartite-084-201Nodes-12693Edges-03000ExtraEdges,Bipartite,0.483030392591497,69.7482473732,5.97694281255,28,22,20,17,17,17,17,17
Bipartite-085-201Nodes-12693Edges-04000ExtraEdges,Bipartite,0.518496625781981,70.1333074181,6.17350930393,31,28,25,20,20,20,20,20
Bipartite-086-201Nodes-12693Edges-05000ExtraEdges,Bipartite,0.549529579823654,70.3128935438,6.29627697721,36,30,29,23,23,23,23,23
Bipartite-087-201Nodes-12693Edges-07500ExtraEdges,Bipartite,0.615683956455347,70.5361810555,6.36552629758,45,39,35,30,30,30,30,30
Bipartite-088-201Nodes-12693Edges-10000ExtraEdges,Bipartite,0.666912959952711,70.6304943199,6.28047484412,49,42,41,35,34,34,34,35
Bipartite-089-201Nodes-12693Edges-15000ExtraEdges,Bipartite,0.736810994532289,70.7231776824,5.99570969227,59,51,48,41,41,41,40,41
