"Latent_Trait_Order","Latent_Trait","Algorithm","value"
1,-1.779792551491,"clasp/2.1.3/h10-n1",0.00347567375935825
1,-1.779792551491,"clasp/2.1.3/h8-n1",0.00553593374594493
1,-1.779792551491,"clasp/2.1.3/h1-n1",0.00175174298426935
1,-1.779792551491,"clasp/2.1.3/h3-n1",0.0017469659568744
1,-1.779792551491,"clasp/2.1.3/h11-n1",0.00376452164223492
1,-1.779792551491,"clasp/2.1.3/h7-n1",0.00170176847780213
1,-1.779792551491,"clasp/2.1.3/h6-n1",0.0129919735587354
1,-1.779792551491,"clasp/2.1.3/h2-n1",0.00502661593135653
1,-1.779792551491,"clasp/2.1.3/h9-n1",0.00300316533626442
1,-1.779792551491,"clasp/2.1.3/h5-n1",0.00375538898319088
1,-1.779792551491,"clasp/2.1.3/h4-n1",0.00213826902845608
2,-1.77920922631417,"clasp/2.1.3/h10-n1",0.00346236410220899
2,-1.77920922631417,"clasp/2.1.3/h8-n1",0.00355874419035011
2,-1.77920922631417,"clasp/2.1.3/h1-n1",0.00503415675357299
2,-1.77920922631417,"clasp/2.1.3/h3-n1",0.00166389351081531
2,-1.77920922631417,"clasp/2.1.3/h11-n1",0.00166389351081531
2,-1.77920922631417,"clasp/2.1.3/h7-n1",0.00274928449870921
2,-1.77920922631417,"clasp/2.1.3/h6-n1",0.00305250305250305
2,-1.77920922631417,"clasp/2.1.3/h2-n1",0.00283536723676451
2,-1.77920922631417,"clasp/2.1.3/h9-n1",0.00445642728224782
2,-1.77920922631417,"clasp/2.1.3/h5-n1",0.00168137024949853
2,-1.77920922631417,"clasp/2.1.3/h4-n1",0.00779672381665224
3,-1.73584509349342,"clasp/2.1.3/h10-n1",0.00329716345028372
3,-1.73584509349342,"clasp/2.1.3/h8-n1",0.00405659765041864
3,-1.73584509349342,"clasp/2.1.3/h1-n1",0.00303329036171988
3,-1.73584509349342,"clasp/2.1.3/h3-n1",0.00166389351081531
3,-1.73584509349342,"clasp/2.1.3/h11-n1",0.00166389351081531
3,-1.73584509349342,"clasp/2.1.3/h7-n1",0.0022356110483898
3,-1.73584509349342,"clasp/2.1.3/h6-n1",0.00385078960440838
3,-1.73584509349342,"clasp/2.1.3/h2-n1",0.00294494426692975
3,-1.73584509349342,"clasp/2.1.3/h9-n1",0.00275597495369962
3,-1.73584509349342,"clasp/2.1.3/h5-n1",0.00180337447431634
3,-1.73584509349342,"clasp/2.1.3/h4-n1",0.00504329670218829
4,-1.6182061429147,"clasp/2.1.3/h10-n1",0.00225878441258053
4,-1.6182061429147,"clasp/2.1.3/h8-n1",0.00242330247661513
4,-1.6182061429147,"clasp/2.1.3/h1-n1",0.0020079676154983
4,-1.6182061429147,"clasp/2.1.3/h3-n1",0.00166389351081531
4,-1.6182061429147,"clasp/2.1.3/h11-n1",0.00166389351081531
4,-1.6182061429147,"clasp/2.1.3/h7-n1",0.00166389351081531
4,-1.6182061429147,"clasp/2.1.3/h6-n1",0.00194012389631202
4,-1.6182061429147,"clasp/2.1.3/h2-n1",0.00185671713842755
4,-1.6182061429147,"clasp/2.1.3/h9-n1",0.00166389351081531
4,-1.6182061429147,"clasp/2.1.3/h5-n1",0.00166389351081531
4,-1.6182061429147,"clasp/2.1.3/h4-n1",0.00505111730714834
5,-1.59671896989014,"clasp/2.1.3/h10-n1",0.00637555865832744
5,-1.59671896989014,"clasp/2.1.3/h8-n1",0.0144315554619108
5,-1.59671896989014,"clasp/2.1.3/h1-n1",0.00166389351081531
5,-1.59671896989014,"clasp/2.1.3/h3-n1",0.00263092813882882
5,-1.59671896989014,"clasp/2.1.3/h11-n1",0.00227578406450482
5,-1.59671896989014,"clasp/2.1.3/h7-n1",0.00248174059358272
5,-1.59671896989014,"clasp/2.1.3/h6-n1",0.0092803118184771
5,-1.59671896989014,"clasp/2.1.3/h2-n1",0.00542823332718134
5,-1.59671896989014,"clasp/2.1.3/h9-n1",0.00275303866642807
5,-1.59671896989014,"clasp/2.1.3/h5-n1",0.00195018448745251
5,-1.59671896989014,"clasp/2.1.3/h4-n1",0.00166389351081531
6,-1.58996932161702,"clasp/2.1.3/h10-n1",0.00253456513198748
