"quantiles","airt","shapley","topset"
0.1,0.00075,0.000420000000000001,0
0.2,0.00994000000000001,0.0066,0
0.3,0.0344700000000001,0.02155,0.00102000000000001
0.4,0.11148,0.0632,0.00816
0.5,0.2803,0.3501,0.272
0.6,0.58478,1.4404,0.68224
0.7,1.07506,5.23981,1.2204
0.8,7.87238000000001,722.632020000001,19.92532
0.9,701.41591,1926.65578,1782.07183
0.95,1506.326255,2771.22404,3824.945665
0.96,1667.308324,2940.137692,4233.520432
0.97,1828.290393,3109.051344,4642.095199
0.98,1989.272462,3277.964996,5050.669966
0.99,2150.254531,3446.878648,5459.244733
