"Latent_Trait_Order","Latent_Trait","Algorithm","value"
1,-5.12216986512599,"lad",1.92204197739679e-05
1,-5.12216986512599,"supplementallad",6.64054718108772e-05
1,-5.12216986512599,"vf2",9.9999999e-09
1,-5.12216986512599,"glasgow1",9.9999999e-09
1,-5.12216986512599,"glasgow2",1.05745629564854e-08
1,-5.12216986512599,"glasgow3",1.05951704564267e-08
1,-5.12216986512599,"glasgow4",9.9999999e-09
2,-5.111306151488,"lad",1.9490137990177e-05
2,-5.111306151488,"supplementallad",9.46969696969697e-05
2,-5.111306151488,"vf2",9.9999999e-09
2,-5.111306151488,"glasgow1",9.9999999e-09
2,-5.111306151488,"glasgow2",1.05532473434337e-08
2,-5.111306151488,"glasgow3",1.06159818362249e-08
2,-5.111306151488,"glasgow4",9.9999999e-09
3,-5.06011073665493,"lad",9.9999999e-09
3,-5.06011073665493,"supplementallad",9.9999999e-09
3,-5.06011073665493,"vf2",9.9999999e-09
3,-5.06011073665493,"glasgow1",1.34431081412417e-08
3,-5.06011073665493,"glasgow2",1.1492797647599e-08
3,-5.06011073665493,"glasgow3",1.0751114463213e-08
3,-5.06011073665493,"glasgow4",9.9999999e-09
4,-4.92220825667255,"lad",9.9999999e-09
4,-4.92220825667255,"supplementallad",9.9999999e-09
4,-4.92220825667255,"vf2",9.9999999e-09
4,-4.92220825667255,"glasgow1",1.23796429448526e-08
4,-4.92220825667255,"glasgow2",1.19827153166027e-08
4,-4.92220825667255,"glasgow3",1.1156914459803e-08
4,-4.92220825667255,"glasgow4",9.9999999e-09
5,-4.86803838420776,"lad",9.9999999e-09
5,-4.86803838420776,"supplementallad",9.9999999e-09
5,-4.86803838420776,"vf2",9.9999999e-09
5,-4.86803838420776,"glasgow1",1.20933290089201e-08
5,-4.86803838420776,"glasgow2",1.20164230857598e-08
5,-4.86803838420776,"glasgow3",1.13734868371907e-08
5,-4.86803838420776,"glasgow4",9.9999999e-09
6,-4.86611408965051,"lad",9.9999999e-09
6,-4.86611408965051,"supplementallad",9.9999999e-09
6,-4.86611408965051,"vf2",9.9999999e-09
6,-4.86611408965051,"glasgow1",9.9999999e-09
6,-4.86611408965051,"glasgow2",1.12354288846338e-08
6,-4.86611408965051,"glasgow3",1.15551561169189e-08
6,-4.86611408965051,"glasgow4",1.08893748841098e-08
7,-4.85527401314982,"lad",9.9999999e-09
7,-4.85527401314982,"supplementallad",9.9999999e-09
7,-4.85527401314982,"vf2",9.9999999e-09
7,-4.85527401314982,"glasgow1",9.9999999e-09
7,-4.85527401314982,"glasgow2",1.12192775370912e-08
