"Latent_Trait_Order","Latent_Trait","Algorithm","value"
1,-2.01641996362107,"CCEHC2akms",5.55524693072607e-05
1,-2.01641996362107,"ahms-1.70",5.55524693072607e-05
1,-2.01641996362107,"LMHS-2016",0.00101513567288268
1,-2.01641996362107,"Optiriss6",0.00107225957259733
1,-2.01641996362107,"WPM3-2015-co",0.0012143880698516
1,-2.01641996362107,"WMaxSatz09",5.55524693072607e-05
1,-2.01641996362107,"maxino16-dis",0.00504133897963299
1,-2.01641996362107,"Naps-1.02-ms",0.000997645556486691
1,-2.01641996362107,"mscg2015b",0.000610236100347224
1,-2.01641996362107,"mscg2015a",0.000613888616049504
1,-2.01641996362107,"maxhs-b",0.0064720730049835
1,-2.01641996362107,"Open-WBO16",0.000742418055607112
1,-2.01641996362107,"QMaxSAT16UC",0.00089076543473807
1,-2.01641996362107,"maxino16-c10",0.00496968492197595
1,-2.01641996362107,"WMaxSatz+",5.55524693072607e-05
1,-2.01641996362107,"CCLS2akms",5.55524693072607e-05
1,-2.01641996362107,"QMaxSAT14",0.000685316410586768
1,-2.01641996362107,"ahms-ls-1.70",5.55524693072607e-05
1,-2.01641996362107,"Open-WBO15",0.000843376542324852
2,-1.89377029903156,"CCEHC2akms",5.55524693072607e-05
2,-1.89377029903156,"ahms-1.70",5.55524693072607e-05
2,-1.89377029903156,"LMHS-2016",5.55524693072607e-05
2,-1.89377029903156,"Optiriss6",0.000706653852676805
2,-1.89377029903156,"WPM3-2015-co",0.0014279798369247
2,-1.89377029903156,"WMaxSatz09",5.55524693072607e-05
2,-1.89377029903156,"maxino16-dis",0.00223548610645385
2,-1.89377029903156,"Naps-1.02-ms",0.00149304985293459
2,-1.89377029903156,"mscg2015b",0.000886855034676032
2,-1.89377029903156,"mscg2015a",0.000742837192372548
2,-1.89377029903156,"maxhs-b",0.00289092538521581
2,-1.89377029903156,"Open-WBO16",0.00289989560375826
2,-1.89377029903156,"QMaxSAT16UC",0.00281999943600011
2,-1.89377029903156,"maxino16-c10",0.00307919694543663
2,-1.89377029903156,"WMaxSatz+",5.55524693072607e-05
2,-1.89377029903156,"CCLS2akms",5.55524693072607e-05
2,-1.89377029903156,"QMaxSAT14",0.0019665296651
2,-1.89377029903156,"ahms-ls-1.70",5.55524693072607e-05
2,-1.89377029903156,"Open-WBO15",0.00334627225271048
3,-1.88119718138825,"CCEHC2akms",5.55524693072607e-05
3,-1.88119718138825,"ahms-1.70",5.55524693072607e-05
3,-1.88119718138825,"LMHS-2016",0.00264487291385649
3,-1.88119718138825,"Optiriss6",0.00357244927122035
3,-1.88119718138825,"WPM3-2015-co",0.00406437977564624
3,-1.88119718138825,"WMaxSatz09",5.55524693072607e-05
