"Latent_Trait_Order","Latent_Trait","Algorithm","value"
1,-2.37489226915893,"8990_weka.MultilayerPerceptron",0.227102
1,-2.37489226915893,"8994_weka.MultilayerPerceptron",0.176913
1,-2.37489226915893,"8995_weka.MultilayerPerceptron",0.198243
1,-2.37489226915893,"2869_weka.SMO_PolyKernel",0.218319
1,-2.37489226915893,"2361_weka.OneR",0.151819
1,-2.37489226915893,"2362_weka.J48",0.188206
1,-2.37489226915893,"2364_weka.IBk",0.188206
1,-2.37489226915893,"2367_weka.REPTree",0.196989
1,-2.37489226915893,"2368_weka.RandomTree",0.188206
1,-2.37489226915893,"2369_weka.RandomForest",0.195734
1,-2.37489226915893,"2370_weka.LMT",0.212045
1,-2.37489226915893,"2371_weka.HoeffdingTree",0.185696
1,-2.37489226915893,"2882_weka.SMO_RBFKernel",0.193225
1,-2.37489226915893,"2373_weka.JRip",0.195734
1,-2.37489226915893,"2889_weka.IBk",0.199498
1,-2.37489226915893,"2891_weka.HyperPipes",0.158093
1,-2.37489226915893,"2381_weka.NaiveBayes",0.204517
1,-2.37489226915893,"2893_weka.OLM",0.194479
1,-2.37489226915893,"2894_weka.FURIA",0.195734
1,-2.37489226915893,"6352_weka.BayesNet",0.204517
1,-2.37489226915893,"2897_weka.ConjunctiveRule",0.19197
1,-2.37489226915893,"2898_weka.SimpleCart",0.178168
1,-2.37489226915893,"6355_weka.AdaBoostM1_NaiveBayes",0.204517
1,-2.37489226915893,"2900_weka.LADTree",0.186951
1,-2.37489226915893,"2647_weka.Logistic",0.224592
1,-2.37489226915893,"2903_weka.AdaBoostM1_DecisionStump",0.17064
1,-2.37489226915893,"2904_weka.AdaBoostM1_J48",0.188206
1,-2.37489226915893,"2906_weka.Bagging_REPTree",0.179423
1,-2.37489226915893,"6250_weka.DecisionTable",0.200753
1,-2.37489226915893,"6378_weka.LogitBoost_DecisionStump",0.212045
2,-2.27844545635648,"8990_weka.MultilayerPerceptron",0.27029
2,-2.27844545635648,"8994_weka.MultilayerPerceptron",0.269811
2,-2.27844545635648,"8995_weka.MultilayerPerceptron",0.27029
2,-2.27844545635648,"2869_weka.SMO_PolyKernel",0.249222
2,-2.27844545635648,"2361_weka.OneR",0.239885
2,-2.27844545635648,"2362_weka.J48",0.201819
2,-2.27844545635648,"2364_weka.IBk",0.198947
2,-2.27844545635648,"2367_weka.REPTree",0.255686
2,-2.27844545635648,"2368_weka.RandomTree",0.194158
2,-2.27844545635648,"2369_weka.RandomForest",0.234618
2,-2.27844545635648,"2370_weka.LMT",0.271008
2,-2.27844545635648,"2371_weka.HoeffdingTree",0.237491
2,-2.27844545635648,"2882_weka.SMO_RBFKernel",0.201101
2,-2.27844545635648,"2373_weka.JRip",0.183864
2,-2.27844545635648,"2889_weka.IBk",0.242758
2,-2.27844545635648,"2891_weka.HyperPipes",0.045008
2,-2.27844545635648,"2381_weka.NaiveBayes",0.238927
2,-2.27844545635648,"2893_weka.OLM",0.115633
2,-2.27844545635648,"2894_weka.FURIA",0.20565
2,-2.27844545635648,"6352_weka.BayesNet",0.24587
2,-2.27844545635648,"2897_weka.ConjunctiveRule",0.208044
2,-2.27844545635648,"2898_weka.SimpleCart",0.259756
2,-2.27844545635648,"6355_weka.AdaBoostM1_NaiveBayes",0.238927
2,-2.27844545635648,"2900_weka.LADTree",0.263826
2,-2.27844545635648,"2647_weka.Logistic",0.277711
2,-2.27844545635648,"2903_weka.AdaBoostM1_DecisionStump",0.209241
2,-2.27844545635648,"2904_weka.AdaBoostM1_J48",0.213311
2,-2.27844545635648,"2906_weka.Bagging_REPTree",0.244913
2,-2.27844545635648,"6250_weka.DecisionTable",0.258559
2,-2.27844545635648,"6378_weka.LogitBoost_DecisionStump",0.259756
3,-2.25443532722922,"8990_weka.MultilayerPerceptron",0.169333
3,-2.25443532722922,"8994_weka.MultilayerPerceptron",0.154667
3,-2.25443532722922,"8995_weka.MultilayerPerceptron",0.165333
3,-2.25443532722922,"2869_weka.SMO_PolyKernel",0.2
3,-2.25443532722922,"2361_weka.OneR",0.214667
3,-2.25443532722922,"2362_weka.J48",0.214667
3,-2.25443532722922,"2364_weka.IBk",0.176
3,-2.25443532722922,"2367_weka.REPTree",0.289333
3,-2.25443532722922,"2368_weka.RandomTree",0.126667
3,-2.25443532722922,"2369_weka.RandomForest",0.254667
3,-2.25443532722922,"2370_weka.LMT",0.22
3,-2.25443532722922,"2371_weka.HoeffdingTree",0.22
3,-2.25443532722922,"2882_weka.SMO_RBFKernel",0.216
3,-2.25443532722922,"2373_weka.JRip",0.265333
3,-2.25443532722922,"2889_weka.IBk",0.184
3,-2.25443532722922,"2891_weka.HyperPipes",0.138667
3,-2.25443532722922,"2381_weka.NaiveBayes",0.213333
3,-2.25443532722922,"2893_weka.OLM",0.104
3,-2.25443532722922,"2894_weka.FURIA",0.210667
3,-2.25443532722922,"6352_weka.BayesNet",0.228
3,-2.25443532722922,"2897_weka.ConjunctiveRule",0.229333
3,-2.25443532722922,"2898_weka.SimpleCart",0.314667
3,-2.25443532722922,"6355_weka.AdaBoostM1_NaiveBayes",0.213333
3,-2.25443532722922,"2900_weka.LADTree",0.312
3,-2.25443532722922,"2647_weka.Logistic",0.209333
3,-2.25443532722922,"2903_weka.AdaBoostM1_DecisionStump",0.210667
3,-2.25443532722922,"2904_weka.AdaBoostM1_J48",0.189333
3,-2.25443532722922,"2906_weka.Bagging_REPTree",0.226667
3,-2.25443532722922,"6250_weka.DecisionTable",0.221333
3,-2.25443532722922,"6378_weka.LogitBoost_DecisionStump",0.232
4,-2.20733953786244,"8990_weka.MultilayerPerceptron",0.149
4,-2.20733953786244,"8994_weka.MultilayerPerceptron",0.147
4,-2.20733953786244,"8995_weka.MultilayerPerceptron",0.16
4,-2.20733953786244,"2869_weka.SMO_PolyKernel",0.213
4,-2.20733953786244,"2361_weka.OneR",0.234
4,-2.20733953786244,"2362_weka.J48",0.196
4,-2.20733953786244,"2364_weka.IBk",0.138
4,-2.20733953786244,"2367_weka.REPTree",0.237
4,-2.20733953786244,"2368_weka.RandomTree",0.151
4,-2.20733953786244,"2369_weka.RandomForest",0.287
4,-2.20733953786244,"2370_weka.LMT",0.264
4,-2.20733953786244,"2371_weka.HoeffdingTree",0.24
4,-2.20733953786244,"2882_weka.SMO_RBFKernel",0.24
4,-2.20733953786244,"2373_weka.JRip",0.278
4,-2.20733953786244,"2889_weka.IBk",0.18
4,-2.20733953786244,"2891_weka.HyperPipes",0.123
4,-2.20733953786244,"2381_weka.NaiveBayes",0.192
4,-2.20733953786244,"2893_weka.OLM",0.089
4,-2.20733953786244,"2894_weka.FURIA",0.268
4,-2.20733953786244,"6352_weka.BayesNet",0.28
4,-2.20733953786244,"2897_weka.ConjunctiveRule",0.279
4,-2.20733953786244,"2898_weka.SimpleCart",0.287
4,-2.20733953786244,"6355_weka.AdaBoostM1_NaiveBayes",0.192
4,-2.20733953786244,"2900_weka.LADTree",0.287
4,-2.20733953786244,"2647_weka.Logistic",0.166
4,-2.20733953786244,"2903_weka.AdaBoostM1_DecisionStump",0.285
4,-2.20733953786244,"2904_weka.AdaBoostM1_J48",0.202
4,-2.20733953786244,"2906_weka.Bagging_REPTree",0.284
4,-2.20733953786244,"6250_weka.DecisionTable",0.285
4,-2.20733953786244,"6378_weka.LogitBoost_DecisionStump",0.245
5,-1.79158411080024,"8990_weka.MultilayerPerceptron",0.302727
5,-1.79158411080024,"8994_weka.MultilayerPerceptron",0.322727
5,-1.79158411080024,"8995_weka.MultilayerPerceptron",0.369091
5,-1.79158411080024,"2869_weka.SMO_PolyKernel",0.358182
5,-1.79158411080024,"2361_weka.OneR",0.263636
5,-1.79158411080024,"2362_weka.J48",0.368182
5,-1.79158411080024,"2364_weka.IBk",0.319091
5,-1.79158411080024,"2367_weka.REPTree",0.415455
5,-1.79158411080024,"2368_weka.RandomTree",0.332727
5,-1.79158411080024,"2369_weka.RandomForest",0.430909
5,-1.79158411080024,"2370_weka.LMT",0.371818
5,-1.79158411080024,"2371_weka.HoeffdingTree",0.347273
5,-1.79158411080024,"2882_weka.SMO_RBFKernel",0.321818
5,-1.79158411080024,"2373_weka.JRip",0.38
5,-1.79158411080024,"2889_weka.IBk",0.314545
5,-1.79158411080024,"2891_weka.HyperPipes",0.143636
5,-1.79158411080024,"2381_weka.NaiveBayes",0.344545
5,-1.79158411080024,"2893_weka.OLM",0.146364
5,-1.79158411080024,"2894_weka.FURIA",0.329091
5,-1.79158411080024,"6352_weka.BayesNet",0.333636
5,-1.79158411080024,"2897_weka.ConjunctiveRule",0.300909
5,-1.79158411080024,"2898_weka.SimpleCart",0.385455
5,-1.79158411080024,"6355_weka.AdaBoostM1_NaiveBayes",0.344545
5,-1.79158411080024,"2900_weka.LADTree",0.384545
5,-1.79158411080024,"2647_weka.Logistic",0.339091
5,-1.79158411080024,"2903_weka.AdaBoostM1_DecisionStump",0.316364
5,-1.79158411080024,"2904_weka.AdaBoostM1_J48",0.396364
5,-1.79158411080024,"2906_weka.Bagging_REPTree",0.426364
5,-1.79158411080024,"6250_weka.DecisionTable",0.338182
5,-1.79158411080024,"6378_weka.LogitBoost_DecisionStump",0.363636
6,-1.68581325153062,"8990_weka.MultilayerPerceptron",0.418125
6,-1.68581325153062,"8994_weka.MultilayerPerceptron",0.060625
6,-1.68581325153062,"8995_weka.MultilayerPerceptron",0.555
6,-1.68581325153062,"2869_weka.SMO_PolyKernel",0.401875
6,-1.68581325153062,"2361_weka.OneR",0.090625
6,-1.68581325153062,"2362_weka.J48",0.42
6,-1.68581325153062,"2364_weka.IBk",0.649375
6,-1.68581325153062,"2367_weka.REPTree",0.38875
6,-1.68581325153062,"2368_weka.RandomTree",0.420625
6,-1.68581325153062,"2369_weka.RandomForest",0.643125
6,-1.68581325153062,"2370_weka.LMT",0.63
6,-1.68581325153062,"2371_weka.HoeffdingTree",0.00625
6,-1.68581325153062,"2882_weka.SMO_RBFKernel",0.121875
6,-1.68581325153062,"2373_weka.JRip",0.3275
6,-1.68581325153062,"2889_weka.IBk",0.55125
6,-1.68581325153062,"2891_weka.HyperPipes",0.329375
6,-1.68581325153062,"2381_weka.NaiveBayes",0.533125
6,-1.68581325153062,"2893_weka.OLM",0.039375
6,-1.68581325153062,"2894_weka.FURIA",0.41625
6,-1.68581325153062,"6352_weka.BayesNet",0.52
6,-1.68581325153062,"2897_weka.ConjunctiveRule",0.019375
6,-1.68581325153062,"2898_weka.SimpleCart",0.421875
6,-1.68581325153062,"6355_weka.AdaBoostM1_NaiveBayes",0.533125
